"TIME","RBD","UNIT","WW_TPAR","WW_TP","Value","Flag and Footnotes"
"2000","Moselle - RBD (LU)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Meuse / Maas - RBD (LU)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Meuse / Maas - RBD (LU)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Meuse / Maas - RBD (LU)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Hungary","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Hungary","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Hungary","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Danube - RBD (HU)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Danube - RBD (HU)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Danube - RBD (HU)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Balaton","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Balaton","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Balaton","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Dráva / Drau (HU)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Dráva / Drau (HU)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Dráva / Drau (HU)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Danube (HU)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Danube (HU)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Danube (HU)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Tisza / Tysa (HU)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Tisza / Tysa (HU)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Tisza / Tysa (HU)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Malta","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","0",""
"2000","Malta","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","1",""
"2000","Malta","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","0",""
"2000","Malta - RBD","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","0",""
"2000","Malta - RBD","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","1",""
"2000","Malta - RBD","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","0",""
"2000","Netherlands","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
