TIME,GEO,WW_TPAR,WW_TP,UNIT,Value,Flag and Footnotes
2000,Valle d'Aosta/Vall�e d'Aoste,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Valle d'Aosta/Vall�e d'Aoste,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Liguria,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Liguria,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Liguria,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Lombardia,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Lombardia,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Lombardia,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Provincia Autonoma di Bolzano/Bozen,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Provincia Autonoma di Bolzano/Bozen,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Provincia Autonoma di Bolzano/Bozen,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Provincia Autonoma di Trento,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Provincia Autonoma di Trento,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Provincia Autonoma di Trento,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Veneto,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Veneto,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Veneto,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Friuli-Venezia Giulia,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Friuli-Venezia Giulia,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Friuli-Venezia Giulia,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Emilia-Romagna,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Emilia-Romagna,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Emilia-Romagna,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Toscana,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Toscana,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Toscana,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Umbria,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Umbria,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Umbria,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Marche,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Marche,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Marche,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Lazio,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Lazio,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Lazio,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Abruzzo,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Abruzzo,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Abruzzo,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Molise,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Molise,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Molise,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Campania,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
