"TIME","GEO","WW_TPAR","WW_TP","UNIT","Value","Flag and Footnotes"
"2010","Chemnitz","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","59",""
"2010","Leipzig","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","31",""
"2010","Sachsen-Anhalt","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","64",""
"2010","Schleswig-Holstein","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","66",""
"2010","Thüringen","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","111",""
"2010","Estonia","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","187",""
"2010","Ireland","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Border, Midland and Western (NUTS 2013)","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Southern and Eastern (NUTS 2013)","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Croatia","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","219",""
"2010","Jadranska Hrvatska","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","121",""
"2010","Kontinentalna Hrvatska","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","98",""
"2010","Italy","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Piemonte","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Valle d'Aosta/Vallée d'Aoste","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Liguria","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Lombardia","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Provincia Autonoma di Bolzano/Bozen","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Provincia Autonoma di Trento","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Veneto","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
