"TIME","GEO","UNIT","WW_TP","Value","Flag and Footnotes"
"2010","Schleswig-Holstein","Thousand","Urban wastewater collecting system",":",""
"2010","Thüringen","Thousand","Urban wastewater collecting system",":",""
"2010","Estonia","Thousand","Urban wastewater collecting system",":",""
"2010","Eesti","Thousand","Urban wastewater collecting system",":",""
"2010","Border, Midland and Western (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Southern and Eastern (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Greece","Thousand","Urban wastewater collecting system",":",""
"2010","Anatoliki Makedonia, Thraki (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2010","Kentriki Makedonia (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2010","Dytiki Makedonia (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2010","Thessalia (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2010","Ipeiros (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2010","Ionia Nisia (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2010","Dytiki Ellada (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2010","Sterea Ellada (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2010","Peloponnisos (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2010","Attiki","Thousand","Urban wastewater collecting system",":",""
"2010","Voreio Aigaio","Thousand","Urban wastewater collecting system",":",""
"2010","Notio Aigaio","Thousand","Urban wastewater collecting system",":",""
"2010","Kriti","Thousand","Urban wastewater collecting system",":",""
"2010","France","Thousand","Urban wastewater collecting system",":",""
"2010","Île de France","Thousand","Urban wastewater collecting system",":",""
"2010","Champagne-Ardenne (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Picardie (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Haute-Normandie (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Centre (FR) (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Basse-Normandie (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Bourgogne (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Nord - Pas-de-Calais (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Lorraine (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Alsace (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Franche-Comté (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Pays de la Loire (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Bretagne (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Poitou-Charentes (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Aquitaine (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Midi-Pyrénées (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Limousin (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Rhône-Alpes (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Auvergne (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Languedoc-Roussillon (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Provence-Alpes-Côte d'Azur (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Corse (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Guadeloupe (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2010","Martinique (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2010","Guyane (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2010","Réunion (NUTS 2010)","Thousand","Urban wastewater collecting system",":",""
"2010","Croatia","Thousand","Urban wastewater collecting system",":",""
"2010","Jadranska Hrvatska","Thousand","Urban wastewater collecting system",":",""
"2010","Kontinentalna Hrvatska","Thousand","Urban wastewater collecting system",":",""
"2010","Cyprus","Thousand","Urban wastewater collecting system",":",""
"2010","Kypros","Thousand","Urban wastewater collecting system",":",""
"2010","Latvia","Thousand","Urban wastewater collecting system",":",""
"2010","Latvija","Thousand","Urban wastewater collecting system",":",""
"2010","Lithuania","Thousand","Urban wastewater collecting system",":",""
"2010","Lietuva (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Luxembourg","Thousand","Urban wastewater collecting system",":",""
"2010","Luxembourg","Thousand","Urban wastewater collecting system",":",""
"2010","Közép-Magyarország (NUTS 2013)","Thousand","Urban wastewater collecting system",":",""
"2010","Közép-Dunántúl","Thousand","Urban wastewater collecting system",":",""
"2010","Nyugat-Dunántúl","Thousand","Urban wastewater collecting system",":",""
"2010","Dél-Dunántúl","Thousand","Urban wastewater collecting system",":",""
"2010","Észak-Magyarország","Thousand","Urban wastewater collecting system",":",""
"2010","Észak-Alföld","Thousand","Urban wastewater collecting system",":",""
"2010","Dél-Alföld","Thousand","Urban wastewater collecting system",":",""
"2010","Malta","Thousand","Urban wastewater collecting system",":",""
"2010","Groningen","Thousand","Urban wastewater collecting system",":",""
"2010","Friesland (NL)","Thousand","Urban wastewater collecting system",":",""
"2010","Drenthe","Thousand","Urban wastewater collecting system",":",""
"2010","Overijssel","Thousand","Urban wastewater collecting system",":",""
"2010","Gelderland","Thousand","Urban wastewater collecting system",":",""
"2010","Flevoland","Thousand","Urban wastewater collecting system",":",""
"2010","Utrecht","Thousand","Urban wastewater collecting system",":",""
"2010","Noord-Holland","Thousand","Urban wastewater collecting system",":",""
"2010","Zuid-Holland","Thousand","Urban wastewater collecting system",":",""
"2010","Zeeland","Thousand","Urban wastewater collecting system",":",""
"2010","Noord-Brabant","Thousand","Urban wastewater collecting system",":",""
"2010","Limburg (NL)","Thousand","Urban wastewater collecting system",":",""
"2010","Burgenland (AT)","Thousand","Urban wastewater collecting system",":",""
