"TIME","RBD","WAT_SRC","WAT_PROC","UNIT","Value","Flag and Footnotes"
"2012","Czech Republic","Fresh surface water","Total gross abstraction","Million cubic metres","1,461.3",""
"2012","Danube - RBD (CZ)","Fresh surface water","Total gross abstraction","Million cubic metres","200.4",""
"2012","Dyje / Thaya","Fresh surface water","Total gross abstraction","Million cubic metres","91.7",""
"2012","Other tributaries of the Danube","Fresh surface water","Total gross abstraction","Million cubic metres","0.1",""
"2012","Morava / March (CZ)","Fresh surface water","Total gross abstraction","Million cubic metres","108.6",""
"2012","Labe / Elbe - RBD (CZ)","Fresh surface water","Total gross abstraction","Million cubic metres","1,113.8",""
"2012","Upper and middle Labe / Elbe (CZ)","Fresh surface water","Total gross abstraction","Million cubic metres","305.9",""
"2012","Upper Vltava / Moldau","Fresh surface water","Total gross abstraction","Million cubic metres","72.3",""
"2012","Berounka","Fresh surface water","Total gross abstraction","Million cubic metres","36.3",""
"2012","Lower Vltava / Moldau","Fresh surface water","Total gross abstraction","Million cubic metres","132.8",""
"2012","Ohre and lower Labe / Elbe (CZ)","Fresh surface water","Total gross abstraction","Million cubic metres","566.5",""
"2012","Odra / Oder - RBD (CZ)","Fresh surface water","Total gross abstraction","Million cubic metres","147.1",""
"2012","Upper Odra / Oder","Fresh surface water","Total gross abstraction","Million cubic metres","145",""
"2012","Luzická Nisa and other tributaries of the Odra / Oder","Fresh surface water","Total gross abstraction","Million cubic metres","2.1",""
"2012","Zealand - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Germany (until 1990 former territory of the FRG)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Danube - RBD (DE)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Rhine - RBD (DE)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Lake Constance/Alpine Rhine","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Hochrhein","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Oberrhein","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Neckar","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Main","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Moselle-Saar (DE)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Middle Rhine","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Lower Rhine","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Rhine delta","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Ems - RBD (DE)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Upper Ems, Ems-Nordradde, Hase","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Leda-Jümme, lower Ems, Ems-estuary","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Weser - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Werra","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Fulda-Diemel","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Weser","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Aller","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2012","Leine","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
