"TIME","RBD","WAT_PROC","NACE_R2","UNIT","Value","Flag and Footnotes"
"2000","Warnow-Peene - RBD","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Warnow-Peene - RBD","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Warnow-Peene - RBD","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Warnow-Peene - RBD","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Estonia","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Estonia","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Estonia","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Estonia","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Estonia","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Greece","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Greece","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
