"TIME","RBD","UNIT","WAT_PROC","Value","Flag and Footnotes"
"2001","Meuse-Chiers - RBD (FR)","Million cubic metres","Precipitation",":",""
"2001","Sambre - RBD","Million cubic metres","Precipitation",":",""
"2001","Rhine - RBD (FR)","Million cubic metres","Precipitation",":",""
"2001","Moselle-Saar (FR)","Million cubic metres","Precipitation",":",""
"2001","Upper Rhine and Ill","Million cubic metres","Precipitation",":",""
"2001","Rhone and the mediterranean coastal rivers - RBD (FR)","Million cubic metres","Precipitation",":",""
"2001","Coastal streams of the Cote d'Azur","Million cubic metres","Precipitation",":",""
"2001","Languedoc Roussillon coastals","Million cubic metres","Precipitation",":",""
"2001","Doubs","Million cubic metres","Precipitation",":",""
"2001","Durance","Million cubic metres","Precipitation",":",""
"2001","Ardèche-Gard","Million cubic metres","Precipitation",":",""
"2001","Haut-Rhône","Million cubic metres","Precipitation",":",""
"2001","Isère-Drôme","Million cubic metres","Precipitation",":",""
"2001","Rhône moyen","Million cubic metres","Precipitation",":",""
"2001","Saône","Million cubic metres","Precipitation",":",""
"2001","Corse - RBD","Million cubic metres","Precipitation",":",""
"2001","Adour, Garonne, Dordogne, Charente and Charente and Aquitaine coastal streams - RBD","Million cubic metres","Precipitation",":",""
"2001","Adour","Million cubic metres","Precipitation",":",""
"2001","Charente","Million cubic metres","Precipitation",":",""
"2001","Charente and Aquitaine coastal streams","Million cubic metres","Precipitation",":",""
"2001","Dordogne","Million cubic metres","Precipitation",":",""
"2001","Garonne","Million cubic metres","Precipitation",":",""
"2001","Lot","Million cubic metres","Precipitation",":",""
"2001","Tarn-Aveyron","Million cubic metres","Precipitation",":",""
"2001","Loire, the coastal rivers of Vendée and Bretagne - RBD","Million cubic metres","Precipitation",":",""
"2001","Allier-Upper Loire","Million cubic metres","Precipitation",":",""
"2001","Lower Loire and coastal rivers of Vendée","Million cubic metres","Precipitation",":",""
"2001","Middle Loire","Million cubic metres","Precipitation",":",""
"2001","Mayenne-Sarthe-Loir","Million cubic metres","Precipitation",":",""
"2001","Vilaine and Brittany coastal streams","Million cubic metres","Precipitation",":",""
"2001","Vienne-Creuse","Million cubic metres","Precipitation",":",""
"2001","Seine and the Normandy coastal streams - RBD (FR)","Million cubic metres","Precipitation",":",""
"2001","Coastal streams of Normandy","Million cubic metres","Precipitation",":",""
"2001","Marne","Million cubic metres","Precipitation",":",""
"2001","Oise","Million cubic metres","Precipitation",":",""
"2001","Seine upstream Paris (FR)","Million cubic metres","Precipitation",":",""
"2001","Seine downstream Paris (FR)","Million cubic metres","Precipitation",":",""
"2001","Croatia","Million cubic metres","Precipitation","62,517",""
"2001","Italy","Million cubic metres","Precipitation","190,337.08",""
"2001","Eastern Alps - RBD","Million cubic metres","Precipitation","33,019.52",""
"2001","Po - RBD (IT)","Million cubic metres","Precipitation","48,480.76",""
"2001","Northern Apennines - RBD","Million cubic metres","Precipitation","26,088.26",""
"2001","Serchio - RBD","Million cubic metres","Precipitation","2,457.12",""
"2001","Middle Apennines - RBD","Million cubic metres","Precipitation","23,540.23",""
"2001","Southern Apennines - RBD","Million cubic metres","Precipitation","37,869.12",""
"2001","Sardinia - RBD","Million cubic metres","Precipitation","9,024.27",""
"2001","Sicily - RBD","Million cubic metres","Precipitation","9,857.8",""
"2001","Cyprus","Million cubic metres","Precipitation","3,213",""
"2001","Cyprus - RBD","Million cubic metres","Precipitation","3,213",""
"2001","Latvia","Million cubic metres","Precipitation","50,652",""
"2001","Daugava - RBD (LV)","Million cubic metres","Precipitation",":",""
"2001","Gauja (Koiva) - RBD (LV)","Million cubic metres","Precipitation",":",""
"2001","Lielupe - RBD (LV)","Million cubic metres","Precipitation",":",""
"2001","Venta - RBD (LV)","Million cubic metres","Precipitation",":",""
"2001","Lithuania","Million cubic metres","Precipitation","50,302",""
"2001","Nemunas - RBD (LT)","Million cubic metres","Precipitation","37,155.76",""
"2001","Venta - RBD (LT)","Million cubic metres","Precipitation","4,714.16",""
"2001","Lielupe - RBD (LT)","Million cubic metres","Precipitation","7,141.36",""
"2001","Daugava - RBD (LT)","Million cubic metres","Precipitation","1,290.72",""
"2001","Luxembourg","Million cubic metres","Precipitation",":",""
"2001","Meuse / Maas - RBD (LU)","Million cubic metres","Precipitation",":",""
"2001","Rhine - RBD (LU)","Million cubic metres","Precipitation",":",""
"2001","Hungary","Million cubic metres","Precipitation","57,102",""
"2001","Danube - RBD (HU)","Million cubic metres","Precipitation","57,102",""
"2001","Balaton","Million cubic metres","Precipitation",":",""
"2001","Dráva / Drau (HU)","Million cubic metres","Precipitation",":",""
"2001","Danube (HU)","Million cubic metres","Precipitation",":",""
"2001","Tisza / Tysa (HU)","Million cubic metres","Precipitation",":",""
"2001","Malta","Million cubic metres","Precipitation","106.87",""
"2001","Malta - RBD","Million cubic metres","Precipitation","106.87",""
"2001","Netherlands","Million cubic metres","Precipitation","35,710",""
"2001","Ems - RBD (NL)","Million cubic metres","Precipitation",":",""
"2001","Maas / Meuse - RBD (NL)","Million cubic metres","Precipitation",":",""
"2001","Rhine - RBD (NL)","Million cubic metres","Precipitation",":",""
"2001","Schelde / Escaut - RBD (NL)","Million cubic metres","Precipitation",":",""
"2001","Austria","Million cubic metres","Precipitation",":",""
"2001","Danube - RBD (AT)","Million cubic metres","Precipitation",":",""
"2001","Danube upstream Jochenstein (AT)","Million cubic metres","Precipitation",":",""
"2001","Danube downstream Jochenstein (AT)","Million cubic metres","Precipitation",":",""
"2001","March / Morava (AT)","Million cubic metres","Precipitation",":",""
"2001","Leitha, Raab, Rabnitz","Million cubic metres","Precipitation",":",""
"2001","Mur","Million cubic metres","Precipitation",":",""
"2001","Drau / Dráva (AT)","Million cubic metres","Precipitation",":",""
"2001","Rhine - RBD (AT)","Million cubic metres","Precipitation",":",""
"2001","Elbe / Labe - RBD (AT)","Million cubic metres","Precipitation",":",""
"2001","Poland","Million cubic metres","Precipitation",":",""
"2001","Danube - RBD (PL)","Million cubic metres","Precipitation",":",""
"2001","Vistula / Wisla - RBD (PL)","Million cubic metres","Precipitation",":",""
"2001","Little Vistula","Million cubic metres","Precipitation",":",""
"2001","Upper Vistula","Million cubic metres","Precipitation",":",""
"2001","Middle Vistula without Bug and Narew","Million cubic metres","Precipitation",":",""
"2001","Bug and Narew","Million cubic metres","Precipitation",":",""
"2001","Lower Vistula","Million cubic metres","Precipitation",":",""
"2001","Swieza - RBD","Million cubic metres","Precipitation",":",""
"2001","Jarft - RBD","Million cubic metres","Precipitation",":",""
"2001","Labe / Elbe - RBD (PL)","Million cubic metres","Precipitation",":",""
"2001","Odra / Oder - RBD (PL)","Million cubic metres","Precipitation",":",""
"2001","Upper Oder","Million cubic metres","Precipitation",":",""
"2001","Middle Oder","Million cubic metres","Precipitation",":",""
"2001","Warta","Million cubic metres","Precipitation",":",""
"2001","Lower Oder and Western Coast","Million cubic metres","Precipitation",":",""
"2001","Ucker - RBD","Million cubic metres","Precipitation",":",""
"2001","Pregolya / Prieglius - RBD (PL)","Million cubic metres","Precipitation",":",""
"2001","Nemunas - RBD (PL)","Million cubic metres","Precipitation",":",""
"2001","Dniester - RBD (PL)","Million cubic metres","Precipitation",":",""
"2001","Portugal","Million cubic metres","Precipitation","131,785",""
"2001","Romania","Million cubic metres","Precipitation","170,000",""
"2001","Danube - RBD (RO)","Million cubic metres","Precipitation","170,000",""
"2001","Banat","Million cubic metres","Precipitation",":",""
